Congo_Dem_Rep	2002	241.1658765
Burundi	2002	446.4035126
Ethiopia	2002	530.0535319
Liberia	2002	531.4823679
Guinea-Bissau	2002	575.7047176
Niger	2002	601.0745012
Myanmar	2002	611
Mozambique	2002	633.6179466
Gambia	2002	660.5855997
Malawi	2002	665.4231186
Zimbabwe	2002	672.0386227
Sierra_Leone	2002	699.489713
Afghanistan	2002	726.7340548
Central_African_Republic	2002	738.6906068
Eritrea	2002	765.3500015
Rwanda	2002	785.6537648
Somalia	2002	882.0818218
Togo	2002	886.2205765
Madagascar	2002	894.6370822
Cambodia	2002	896.2260153
Tanzania	2002	899.0742111
Uganda	2002	927.7210018
Guinea	2002	945.5835837
Mali	2002	951.4097518
Burkina_Faso	2002	1037.645221
Nepal	2002	1057.206311
Zambia	2002	1071.613938
Comoros	2002	1075.811558
Ghana	2002	1111.984578
Bangladesh	2002	1136.39043
Chad	2002	1156.18186
Haiti	2002	1270.364932
Lesotho	2002	1275.184575
Kenya	2002	1287.514732
Sao_Tome_and_Principe	2002	1353.09239
Benin	2002	1372.877931
Senegal	2002	1519.635262
Mauritania	2002	1579.019543
Nigeria	2002	1615.286395
Korea_Dem_Rep	2002	1646.758151
Cote_d'Ivoire	2002	1648.800823
India	2002	1746.769454
Vietnam	2002	1764.456677
Djibouti	2002	1908.260867
Cameroon	2002	1934.011449
Sudan	2002	1993.398314
Pakistan	2002	2092.712441
Mongolia	2002	2140.739323
Yemen_Rep	2002	2234.820827
Nicaragua	2002	2474.548819
Philippines	2002	2650.921068
Angola	2002	2773.287312
Indonesia	2002	2873.91287
Sri_Lanka	2002	3015.378833
Honduras	2002	3099.72866
China	2002	3119.280896
Morocco	2002	3258.495584
Bolivia	2002	3413.26269
Congo_Rep	2002	3484.06197
Paraguay	2002	3783.674243
Jordan	2002	3844.917194
Namibia	2002	4072.324751
Syria	2002	4090.925331
Swaziland	2002	4128.116943
Iraq	2002	4390.717312
West_Bank_and_Gaza	2002	4515.487575
Dominican_Republic	2002	4563.808154
Albania	2002	4604.211737
Egypt	2002	4754.604414
Guatemala	2002	4858.347495
Algeria	2002	5288.040382
El_Salvador	2002	5351.568666
Tunisia	2002	5722.895655
Colombia	2002	5755.259962
Ecuador	2002	5773.044512
Peru	2002	5909.020073
Thailand	2002	5913.187529
Bosnia_and_Herzegovina	2002	6018.975239
Reunion	2002	6316.1652
Cuba	2002	6340.646683
Turkey	2002	6508.085718
Montenegro	2002	6557.194282
Jamaica	2002	6994.774861
Serbia	2002	7236.075251
Panama	2002	7356.031934
Bulgaria	2002	7696.777725
Equatorial_Guinea	2002	7703.4959
South_Africa	2002	7710.946444
Costa_Rica	2002	7723.447195
Uruguay	2002	7727.002004
Romania	2002	7885.360081
Brazil	2002	8131.212843
Venezuela	2002	8605.047831
Argentina	2002	8797.640716
Mauritius	2002	9021.815894
Iran	2002	9240.761975
Lebanon	2002	9313.93883
Libya	2002	9534.677467
Malaysia	2002	10206.97794
Mexico	2002	10742.44053
Chile	2002	10778.78385
Botswana	2002	11003.60508
Trinidad_and_Tobago	2002	11460.60023
Croatia	2002	11628.38895
Poland	2002	12002.23908
Gabon	2002	12521.71392
Slovak_Republic	2002	13638.77837
Hungary	2002	14843.93556
Czech_Republic	2002	17596.21022
Puerto_Rico	2002	18855.60618
Saudi_Arabia	2002	19014.54118
Korea_Rep	2002	19233.98818
Oman	2002	19774.83687
Portugal	2002	19970.90787
Slovenia	2002	20660.01936
Israel	2002	21905.59514
Greece	2002	22514.2548
New_Zealand	2002	23189.80135
Taiwan	2002	23235.42329
Bahrain	2002	23403.55927
Spain	2002	24835.47166
Italy	2002	27968.09817
Finland	2002	28204.59057
Japan	2002	28604.5919
France	2002	28926.03234
Sweden	2002	29341.63093
United_Kingdom	2002	29478.99919
Germany	2002	30035.80198
Hong_Kong_China	2002	30209.01516
Belgium	2002	30485.88375
Australia	2002	30687.75473
Iceland	2002	31163.20196
Denmark	2002	32166.50006
Austria	2002	32417.60769
Canada	2002	33328.96507
Netherlands	2002	33724.75778
Ireland	2002	34077.04939
Switzerland	2002	34480.95771
Kuwait	2002	35110.10566
Singapore	2002	36023.1054
United_States	2002	39097.09955
Norway	2002	44683.97525
